"Transcript/RepeatID (cmd=analyzeRepeats-pl /home/cbenner/data/software/gencode/hg38/gencode-best-rna hg38 -fpkm -count exons -strand - -minLength 250 -d HMDM-RNAseq-mock-24h-4G2neg-p1 HMDM-RNAseq-mock-24h-4G2neg-p3 HMDM-RNAseq-mock-24h-4G2neg-p4 HMDM-RNAseq-mock-24h-4G2neg-p5 HMDM-RNAseq-mock-24h-4G2neg-p6 HMDM-RNAseq-mock-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2neg-p4 HMDM-RNAseq-FSSADE-12h-4G2neg-p5 HMDM-RNAseq-FSSADE-12h-4G2neg-p6 HMDM-RNAseq-FSSADE-12h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2pos-p4 HMDM-RNAseq-FSSADE-12h-4G2pos-p5 HMDM-RNAseq-FSSADE-12h-4G2pos-p6 HMDM-RNAseq-FSSADE-12h-4G2pos-pooled HMDM-RNAseq-FSSADE-18h-4G2neg-p4 HMDM-RNAseq-FSSADE-18h-4G2neg-p5 HMDM-RNAseq-FSSADE-18h-4G2neg-p6 HMDM-RNAseq-FSSADE-18h-4G2neg-pooled HMDM-RNAseq-FSSADE-18h-4G2pos-p4 HMDM-RNAseq-FSSADE-18h-4G2pos-p5 HMDM-RNAseq-FSSADE-18h-4G2pos-p6 HMDM-RNAseq-FSSADE-18h-4G2pos-pooled HMDM-RNAseq-FSSADE-24h-4G2neg-p1 HMDM-RNAseq-FSSADE-24h-4G2neg-p3 HMDM-RNAseq-FSSADE-24h-4G2neg-p4 HMDM-RNAseq-FSSADE-24h-4G2neg-p5 HMDM-RNAseq-FSSADE-24h-4G2neg-p6 HMDM-RNAseq-FSSADE-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-24h-4G2pos-p1 HMDM-RNAseq-FSSADE-24h-4G2pos-p3 HMDM-RNAseq-FSSADE-24h-4G2pos-p4 HMDM-RNAseq-FSSADE-24h-4G2pos-p5 HMDM-RNAseq-FSSADE-24h-4G2pos-p6 HMDM-RNAseq-FSSADE-24h-4G2pos-pooled)","chr","start","end","strand","Length","gene_name","Annotation/Divergence","gene_id","gene_type"
"ENST00000549744.1","chr1",234979647,234980804,"-",843,"RP11-443B7.3","0","ENSG00000258082.1","lincRNA"
"ENST00000376509.4","chrX",48913182,48919024,"-",2064,"PIM2","PIM2|-|-|Xp11.23|protein-coding","ENSG00000102096.9","protein_coding"
"ENST00000398075.3","chr7",100126694,100128498,"+",1499,"MBLAC1","MBLAC1|-|-|7q22.1|protein-coding","ENSG00000214309.4","protein_coding"
"ENST00000444025.1","chr7",23562459,23564261,"-",1802,"AC006026.9","0","ENSG00000224785.1","processed_pseudogene"
"ENST00000298556.7","chrX",134460153,134500668,"+",1390,"HPRT1","HPRT1|HGPRT|HPRT|-|Xq26.2-q26.3|protein-coding","ENSG00000165704.14","protein_coding"
"ENST00000303334.8","chr16",66961237,66975096,"+",3809,"CES3","CES3|ES31|-|16q22.1|protein-coding","ENSG00000172828.12","protein_coding"
"ENST00000558833.1","chr15",59676757,59677321,"+",564,"PIGHP1","0","ENSG00000259657.1","processed_pseudogene"
"ENST00000377833.8","chr10",16823964,17129831,"-",11816,"CUBN","CUBN|IFCR|MGA1|gp280|-|10p13|protein-coding","ENSG00000107611.14","protein_coding"
"ENST00000579164.6","chr17",31038575,31051026,"-",1956,"RP11-271K11.5","0","ENSG00000265798.6","transcribed_unprocessed_pseudogene"
"ENST00000321765.9","chr17",28577574,28599279,"-",3993,"SPAG5","SPAG5|DEEPEST|MAP126|hMAP126|-|17q11.2|protein-coding","ENSG00000076382.16","protein_coding"
"ENST00000321265.9","chr1",26921726,26946862,"+",1783,"NUDC","NUDC|HNUDC|MNUDC|NPD011|-|1p36.11|protein-coding","ENSG00000090273.13","protein_coding"
"ENST00000380191.8","chr10",5765223,5813549,"-",2391,"GDI2","GDI2|HEL-S-46e|RABGDIB|-|10p15.1|protein-coding","ENSG00000057608.16","protein_coding"
"ENST00000251453.7","chr19",39433207,39435948,"-",551,"RPS16","RPS16|S16|-|19q13.2|protein-coding","ENSG00000105193.8","protein_coding"
"ENST00000563377.5","chr16",74332567,74360859,"-",2022,"RP11-252A24.2","0","ENSG00000214331.8","transcribed_unprocessed_pseudogene"
"ENST00000225737.10","chr17",19904302,19977837,"-",4043,"AKAP10","AKAP10|AKAP-10|D-AKAP-2|D-AKAP2|PRKA10|-|17p11.2|protein-coding","ENSG00000108599.14","protein_coding"
"ENST00000264235.12","chr3",119821323,120094417,"-",7690,"GSK3B","GSK3B|-|-|3q13.33|protein-coding","ENSG00000082701.14","protein_coding"
"ENST00000623493.1","chr17",54956760,54958426,"-",1666,"RP11-257O5.2","0","ENSG00000279059.1","TEC"
"ENST00000220496.8","chr15",40765155,40807477,"-",3710,"DNAJC17","DNAJC17|-|-|15q15.1|protein-coding","ENSG00000104129.9","protein_coding"
"ENST00000564460.2","chr16",898967,905224,"-",4723,"LA16c-306A4.2","0","ENSG00000260316.2","sense_intronic"
"ENST00000368931.7","chr1",151036570,151047600,"+",2124,"BNIPL","BNIPL|BNIP-S|BNIP-Salpha|BNIP-Sbeta|BNIPL-1|BNIPL-2|BNIPL1|BNIPL2|BNIPS|PP753|-|1q21.3|protein-coding","ENSG00000163141.18","protein_coding"
"ENST00000245680.6","chr2",113712792,113756823,"-",4381,"SLC35F5","SLC35F5|-|-|2q14.1|protein-coding","ENSG00000115084.13","protein_coding"
"ENST00000581798.1","chr18",5381641,5385330,"-",460,"CTD-3096M3.2","0","ENSG00000266288.1","lincRNA"
"ENST00000474902.5","chr9",137089181,137109181,"+",2315,"MAN1B1","0","ENSG00000177239.14","protein_coding"
"ENST00000501834.1","chr5",178438681,178443094,"-",1455,"CTB-26E19.1","0","ENSG00000245688.1","sense_intronic"
"ENST00000361891.8","chr1",153662036,153671048,"-",1632,"ILF2","ILF2|NF45|PRO3063|-|1q21.3|protein-coding","ENSG00000143621.16","protein_coding"
"ENST00000581996.2","chr18",76491652,76493918,"+",1197,"RP11-17M16.2","LOC101927989|-|-|18q23|ncRNA","ENSG00000265778.2","antisense"
"ENST00000421851.1","chr1",174009267,174016206,"-",445,"RC3H1-IT1","0","ENSG00000236535.1","sense_intronic"
"ENST00000247706.3","chr19",17292131,17303473,"-",2081,"ABHD8","ABHD8|-|-|19p13.11|protein-coding","ENSG00000127220.5","protein_coding"
"ENST00000411392.1","chr11",111683111,111683424,"+",313,"RN7SKP273","0","ENSG00000223324.1","misc_RNA"
"ENST00000568957.1","chr16",29613104,29613640,"-",536,"SLC7A5P1","0","ENSG00000260727.1","unprocessed_pseudogene"
"ENST00000412976.1","chr10",64168959,64170850,"-",1891,"DBF4P1","0","ENSG00000235489.4","processed_pseudogene"
"ENST00000624499.1","chr6",161160105,161161982,"-",1877,"AGPAT4-IT1","AGPAT4-IT1|C6orf59|NCRNA00241|-|6q26|ncRNA","ENSG00000279355.1","TEC"
"ENST00000434303.1","chr17",18908279,18908865,"+",586,"AC090286.2","0","ENSG00000235672.1","transcribed_processed_pseudogene"
"ENST00000609151.1","chr7",32758882,32759353,"+",471,"RP11-225B17.2","0","ENSG00000273014.1","lincRNA"
"ENST00000601567.5","chr19",57267220,57280308,"-",705,"CTC-444N24.6","LOC105372476|-|-|19q13.43|ncRNA","ENSG00000267871.5","antisense"
"ENST00000268711.3","chr17",17476986,17493226,"+",2225,"MED9","MED9|MED25|-|17p11.2|protein-coding","ENSG00000141026.5","protein_coding"
"ENST00000616872.1","chr15",22371736,22373570,"+",1834,"RP11-566K19.8","0","ENSG00000273679.1","processed_pseudogene"
"ENST00000546455.5","chr12",47079603,47236660,"+",2321,"PCED1B","PCED1B|FAM113B|-|12q13.11|protein-coding","ENSG00000179715.12","protein_coding"
"ENST00000382192.7","chr16",3112560,3120517,"+",2049,"ZNF205","ZNF205|RhitH|ZNF210|Zfp13|-|16p13.3|protein-coding","ENSG00000122386.10","protein_coding"
"ENST00000395957.6","chr8",100916525,100952983,"-",5235,"YWHAZ","YWHAZ|14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|YWHAD|-|8q22.3|protein-coding","ENSG00000164924.17","protein_coding"
"ENST00000347708.4","chr8",144137769,144140843,"+",2520,"HGH1","HGH1|BRP16|BRP16L|C8orf30A|C8orf30B|FAM203A|FAM203B|-|8q24.3|protein-coding","ENSG00000235173.6","protein_coding"
"ENST00000232978.12","chr3",42600614,42648741,"+",7310,"NKTR","NKTR|p104|-|3p22.1|protein-coding","ENSG00000114857.17","protein_coding"
"ENST00000505925.1","chr5",107724961,107727117,"+",2156,"RP11-252I13.1","0","ENSG00000248827.1","processed_pseudogene"
"ENST00000247461.8","chr5",179698906,179730925,"+",4231,"CANX","CANX|CNX|IP90|P90|-|5q35.3|protein-coding","ENSG00000127022.14","protein_coding"
"ENST00000267935.12","chr15",75335891,75340273,"+",1052,"COMMD4","COMMD4|-|-|15q24.2|protein-coding","ENSG00000140365.15","protein_coding"
"ENST00000298999.7","chr10",98134671,98244897,"+",3360,"R3HCC1L","R3HCC1L|C10orf28|GIDRP86|GIDRP88|PSORT|-|10q24.2|protein-coding","ENSG00000166024.13","protein_coding"
"ENST00000586923.1","chr19",55227219,55230279,"-",3060,"CTD-2587H24.14","0","ENSG00000276570.1","processed_transcript"
"ENST00000230056.7","chr6",24774938,24786099,"+",1249,"GMNN","GMNN|Gem|MGORS6|-|6p22.3|protein-coding","ENSG00000112312.9","protein_coding"
"ENST00000532044.1","chr11",123017638,123018661,"+",1023,"RP11-335F8.2","0","ENSG00000213184.3","processed_pseudogene"
"ENST00000449300.1","chr10",26714622,26715832,"+",775,"HSPA8P3","0","ENSG00000234788.1","processed_pseudogene"
"ENST00000337392.9","chr19",44955246,44993341,"+",2577,"CLPTM1","CLPTM1|-|-|19q13.32|protein-coding","ENSG00000104853.15","protein_coding"
"ENST00000607781.1","chr2",10690344,10692099,"+",1755,"RN7SL832P","0","ENSG00000243819.4","lincRNA"
"ENST00000527845.1","chr16",66552587,66570086,"+",499,"CKLF-CMTM1","0","ENSG00000254788.7","protein_coding"
"ENST00000438867.1","chrX",39401252,39434824,"-",779,"RP11-157D23.2","0","ENSG00000234191.1","lincRNA"
"ENST00000635775.1","chr8",12537079,12665588,"-",3942,"RP11-419I17.1","LOC729732|-|-|8p23.1|ncRNA","ENSG00000283674.1","lincRNA"
"ENST00000303904.7","chr7",100088954,100092200,"+",1413,"COPS6","COPS6|CSN6|MOV34-34KD|-|7q22.1|protein-coding","ENSG00000168090.9","protein_coding"
"ENST00000301712.5","chr16",1398305,1414751,"-",1420,"UNKL","UNKL|C16orf28|ZC3H5L|ZC3HDC5L|-|16p13.3|protein-coding","ENSG00000059145.18","protein_coding"
"ENST00000318673.6","chr2",219075973,219169987,"-",2712,"RP11-33O4.2","0","ENSG00000280537.2","protein_coding"
"ENST00000545606.5","chr12",67269281,67319951,"+",11222,"CAND1","CAND1|TIP120|TIP120A|-|12q14.3-q15|protein-coding","ENSG00000111530.12","protein_coding"
"ENST00000398372.2","chr2",26149204,26150731,"+",1213,"SMARCE1P6","0","ENSG00000214465.3","processed_pseudogene"
"ENST00000426182.2","chr12",120282303,120282716,"+",413,"NME2P1","0","ENSG00000123009.4","processed_pseudogene"
"ENST00000368090.3","chr1",160027673,160031991,"-",4318,"PIGM","PIGM|GPI-MT-I|-|1q23.2|protein-coding","ENSG00000143315.6","protein_coding"
"ENST00000507044.1","chr4",1249300,1250446,"+",736,"CTBP1-AS2","0","ENSG00000196810.4","antisense"
"ENST00000612898.1","chr6",27837760,27839482,"+",1722,"HIST1H2BN","HIST1H2BN|H2B/d|H2BFD|-|6p22.1|protein-coding","ENSG00000233822.4","protein_coding"
"ENST00000427240.1","chr1",39531838,39558707,"-",800,"PPIEL","0","ENSG00000243970.1","unprocessed_pseudogene"
"ENST00000593524.1","chr19",4356637,4358448,"-",1811,"AC007292.3","0","ENSG00000269318.1","antisense"
"ENST00000454081.1","chrX",64144872,64147052,"-",1768,"RP11-403E24.1","0","ENSG00000226010.1","processed_pseudogene"
"ENST00000288139.9","chr3",53494699,53813733,"+",9244,"CACNA1D","CACNA1D|CACH3|CACN4|CACNL1A2|CCHL1A2|Cav1.3|PASNA|SANDD|-|3p21.1|protein-coding","ENSG00000157388.15","protein_coding"
"ENST00000311008.15","chr16",28974775,28984543,"+",2185,"SPNS1","SPNS1|HSpin1|LAT|PP2030|SPIN1|SPINL|nrs|-|16p11.2|protein-coding","ENSG00000169682.17","protein_coding"
"ENST00000415694.1","chr9",107169569,107171148,"-",1579,"RP11-417L14.1","0","ENSG00000226535.1","processed_pseudogene"
"ENST00000453101.1","chr2",106344566,106345433,"+",867,"AC114755.3","0","ENSG00000227513.1","processed_pseudogene"
"ENST00000315082.8","chr16",668086,674174,"+",2502,"RHOT2","RHOT2|ARHT2|C16orf39|MIRO-2|MIRO2|RASL|-|16p13.3|protein-coding","ENSG00000140983.13","protein_coding"
"ENST00000038176.7","chr8",58583504,58659844,"-",3508,"NSMAF","NSMAF|FAN|GRAMD5|-|8q12.1|protein-coding","ENSG00000035681.7","protein_coding"
"ENST00000495167.3","chr17",15786618,15787575,"+",957,"MEIS3P1","0","ENSG00000179277.9","processed_pseudogene"
"ENST00000374940.3","chr6",32741342,32747215,"+",1515,"HLA-DQA2","HLA-DQA2|DX-ALPHA|HLA-DXA|HLADQA2|-|6p21.32|protein-coding","ENSG00000237541.3","protein_coding"
"ENST00000392446.9","chr17",78991717,79009730,"-",3243,"CANT1","CANT1|DBQD|DBQD1|SCAN-1|SCAN1|SHAPY|-|17q25.3|protein-coding","ENSG00000171302.16","protein_coding"
"ENST00000400706.3","chr12",14522,32015,"-",1796,"ABC7-42389800N19.1","LOC100288778|-|-|12p13.33|pseudo","ENSG00000226210.3","unprocessed_pseudogene"
"ENST00000520711.1","chr8",41511240,41512521,"+",1281,"KRT18P37","0","ENSG00000253943.1","processed_pseudogene"
"ENST00000242848.8","chr13",45954465,46052746,"-",7981,"ZC3H13","ZC3H13|KIAA0853|-|13q14.13|protein-coding","ENSG00000123200.16","protein_coding"
"ENST00000514975.1","chr4",105484698,105486080,"+",1382,"EEF1A1P9","0","ENSG00000249264.1","processed_pseudogene"
"ENST00000295738.11","chr2",219161465,219170095,"-",2016,"SLC23A3","SLC23A3|E2BP3|SVCT3|Yspl1|-|2q35|protein-coding","ENSG00000213901.10","protein_coding"
"ENST00000012049.9","chr19",45692483,45703989,"+",2297,"QPCTL","QPCTL|gQC|-|19q13.32|protein-coding","ENSG00000011478.11","protein_coding"
"ENST00000603798.5","chr12",51244558,51270890,"-",2343,"SMAGP","SMAGP|hSMAGP|-|12q13.13|protein-coding","ENSG00000170545.16","protein_coding"
"ENST00000334583.10","chr16",67644919,67657569,"+",4612,"CARMIL2","CARMIL2|CARMIL2b|LRRC16C|RLTPR|-|16q22.1|protein-coding","ENSG00000159753.13","protein_coding"
"ENST00000334398.7","chrX",155490115,155612936,"-",2817,"TMLHE","TMLHE|AUTSX6|BBOX2|TMLD|TMLH|TMLHED|XAP130|-|Xq28|protein-coding","ENSG00000185973.10","protein_coding"
"ENST00000619282.1","chr12",121190868,121191518,"+",650,"RP11-340F14.6","0","ENSG00000274029.1","lincRNA"
"ENST00000514785.1","chr4",102727274,102730721,"-",1352,"LRRC37A15P","0","ENSG00000230069.3","processed_pseudogene"
"ENST00000339556.8","chr1",153618799,153628180,"-",509,"S100A13","0","ENSG00000189171.14","protein_coding"
"ENST00000371328.3","chr20",56524486,56526142,"+",908,"FAM209A","FAM209A|C20orf106|dJ1153D9.3|-|20q13.31|protein-coding","ENSG00000124103.8","protein_coding"
"ENST00000565695.2","chr6",100881471,100882987,"+",1516,"RP3-467N11.1","0","ENSG00000260000.2","antisense"
"ENST00000355057.2","chr6",27824108,27824480,"+",372,"HIST1H4J","HIST1H4J|H4/e|H4F2iv|H4FE|dJ160A22.2|-|6p22.1|protein-coding","ENSG00000197238.4","protein_coding"
"ENST00000531787.5","chr11",60378530,60417688,"+",2532,"MS4A14","0","ENSG00000166928.10","protein_coding"
"ENST00000371157.7","chrX",123961718,124102656,"+",5926,"STAG2","STAG2|SA-2|SA2|SCC3B|bA517O1.1|-|Xq25|protein-coding","ENSG00000101972.18","protein_coding"
"ENST00000343939.6","chr16",83949067,83966332,"+",2378,"OSGIN1","0","ENSG00000140961.12","protein_coding"
"ENST00000527879.2","chr12",104303739,104305205,"+",1466,"EID3","EID3|NS4EB|NSE4B|NSMCE4B|-|12q23.3|protein-coding","ENSG00000255150.2","protein_coding"
"ENST00000623308.1","chr4",67607856,67610313,"-",2457,"RP11-17P16.1","0","ENSG00000279464.1","TEC"
"ENST00000439136.2","chr17",21214331,21230035,"+",482,"AC087294.2","0","ENSG00000235530.6","antisense"
"ENST00000287387.6","chr8",123416725,123442021,"+",1338,"WDYHV1","WDYHV1|C8orf32|-|8q24.13|protein-coding","ENSG00000156795.6","protein_coding"
"ENST00000316836.4","chr14",73711783,73714372,"-",2589,"PNMA1","PNMA1|MA1|-|14q24.3|protein-coding","ENSG00000176903.4","protein_coding"
"ENST00000619038.4","chr17",15436015,15467611,"-",2491,"CDRT4","CDRT4|-|-|17p12|protein-coding","ENSG00000239704.10","protein_coding"
"ENST00000578585.1","chr17",20788071,20789584,"+",1513,"RP11-283C24.1","0","ENSG00000264215.1","lincRNA"
"ENST00000361113.9","chr19",11597420,11619135,"+",2833,"ZNF627","ZNF627|-|-|19p13.2|protein-coding","ENSG00000198551.9","protein_coding"
"ENST00000322357.8","chr19",4044364,4066945,"-",5417,"ZBTB7A","ZBTB7A|FBI-1|FBI1|LRF|TIP21|ZBTB7|ZNF857A|pokemon|-|19p13.3|protein-coding","ENSG00000178951.8","protein_coding"
"ENST00000399464.6","chr17",7315628,7329328,"-",5143,"NEURL4","NEURL4|-|-|17p13.1|protein-coding","ENSG00000215041.9","protein_coding"
"ENST00000359865.7","chr18",8717371,8832778,"+",6060,"MTCL1","MTCL1|CCDC165|KIAA0802|SOGA2|-|18p11.22|protein-coding","ENSG00000168502.17","protein_coding"
"ENST00000433675.1","chr2",171517270,171517716,"-",446,"AC007969.5","0","ENSG00000233762.3","processed_pseudogene"
"ENST00000394800.6","chr5",139274104,139331671,"+",5476,"MATR3","0","ENSG00000280987.4","protein_coding"
"ENST00000413684.1","chr2",91747940,91748986,"-",1046,"AC027612.1","0","ENSG00000232531.3","processed_pseudogene"
"ENST00000427308.1","chr9",6675284,6675614,"+",330,"RP11-390F4.2","0","ENSG00000232946.1","processed_pseudogene"
"ENST00000584036.1","chr18",7814118,7815730,"+",1612,"RP11-678G15.1","0","ENSG00000264596.1","sense_intronic"
"ENST00000537262.1","chr12",132688049,132714912,"+",558,"RP13-672B3.2","0","ENSG00000256632.3","protein_coding"
"ENST00000327428.9","chr2",74135398,74147994,"-",632,"BOLA3","BOLA3|MMDS2|-|2p13.1|protein-coding","ENSG00000163170.11","protein_coding"
"ENST00000595302.1","chr19",58351970,58355183,"+",2123,"A1BG-AS1","A1BG-AS1|A1BG-AS|A1BGAS|NCRNA00181|-|19q13.43|ncRNA","ENSG00000268895.5","antisense"
"ENST00000264122.8","chr3",105655461,105869043,"-",6743,"CBLB","CBLB|Cbl-b|Nbla00127|RNF56|-|3q13.11|protein-coding","ENSG00000114423.18","protein_coding"
"ENST00000638115.1","chr3",49416777,49429314,"-",4426,"RP11-949J7.8","0","ENSG00000283189.2","protein_coding"
"ENST00000439742.6","chr5",177307205,177312309,"-",1472,"MXD3","MXD3|BHLHC13|MAD3|MYX|-|5q35.3|protein-coding","ENSG00000213347.10","protein_coding"
"ENST00000446816.1","chr2",96208416,96242594,"+",1522,"STARD7-AS1","0","ENSG00000204685.6","processed_transcript"
"ENST00000605633.1","chr11",86821143,86821728,"-",585,"AP000654.5","0","ENSG00000271318.1","processed_pseudogene"
"ENST00000500358.6","chr4",99088857,99301356,"+",4806,"RP11-696N14.1","LOC100507053|-|-|4q23|ncRNA","ENSG00000246090.6","antisense"
"ENST00000389934.7","chr17",58556678,58692055,"-",4862,"TEX14","TEX14|CT113|-|17q22|protein-coding","ENSG00000121101.15","protein_coding"
"ENST00000304786.11","chr1",225777829,225790466,"+",1475,"SRP9","SRP9|ALURBP|-|1q42.12|protein-coding","ENSG00000143742.12","protein_coding"
"ENST00000565342.5","chr16",30194433,30204306,"+",2174,"SLX1A-SULT1A3","SLX1A-SULT1A3|-|-|16p11.2|ncRNA","ENSG00000213599.10","processed_transcript"
"ENST00000607145.1","chr1",11029659,11030528,"+",869,"RP4-635E18.8","0","ENSG00000271895.2","antisense"
"ENST00000413933.1","chr21",19244543,19246392,"+",1849,"SLC6A6P1","0","ENSG00000226818.1","processed_pseudogene"
"ENST00000279392.7","chr16",29992321,29996436,"-",3375,"HIRIP3","HIRIP3|-|-|16p11.2|protein-coding","ENSG00000149929.15","protein_coding"
"ENST00000297347.7","chr8",117520713,117540262,"+",978,"MED30","MED30|MED30S|THRAP6|TRAP25|-|8q24.11|protein-coding","ENSG00000164758.7","protein_coding"
"ENST00000511690.1","chr5",98679402,98681367,"+",1965,"DDX18P4","0","ENSG00000251553.1","processed_pseudogene"
"ENST00000499418.2","chr8",124462485,124474564,"-",5651,"RNF139-AS1","RNF139-AS1|-|-|8q24.13|ncRNA","ENSG00000245149.3","lincRNA"
"ENST00000547720.1","chr12",111992996,111993875,"+",879,"SLC25A3P2","0","ENSG00000258373.1","processed_pseudogene"
"ENST00000555147.1","chr16",89917879,89920977,"+",3098,"MC1R","MC1R|CMM5|MSH-R|SHEP2|-|16q24.3|protein-coding","ENSG00000258839.3","protein_coding"
"ENST00000522012.5","chr8",23287908,23296121,"+",1483,"R3HCC1","0","ENSG00000104679.10","protein_coding"
"ENST00000565254.1","chr4",127840198,127844040,"-",3842,"RP11-50D9.3","0","ENSG00000261668.1","antisense"
"ENST00000371443.5","chr9",137551199,137552555,"+",1259,"MRPL41","MRPL41|BMRP|MRP-L27|MRPL27|PIG3|RPML27|-|9q34.3|protein-coding","ENSG00000182154.7","protein_coding"
"ENST00000394249.7","chr15",90966038,90994495,"-",3005,"PRC1","PRC1|ASE1|-|15q26.1|protein-coding","ENSG00000198901.13","protein_coding"
"ENST00000314392.12","chr9",127935099,127938484,"-",1535,"DPM2","DPM2|CDG1U|-|9q34.11|protein-coding","ENSG00000136908.17","protein_coding"
"ENST00000292330.2","chr7",100435282,100436565,"-",1024,"PPP1R35","PPP1R35|C7orf47|-|7q22.1|protein-coding","ENSG00000160813.6","protein_coding"
"ENST00000525337.1","chr11",59753015,59754975,"-",876,"AP000640.10","0","ENSG00000254477.1","antisense"
"ENST00000613066.1","chr15",84642487,84642763,"-",276,"Metazoa_SRP","0","ENSG00000277578.1","misc_RNA"
"ENST00000498589.1","chr22",21652270,21670237,"+",1080,"MIR130B","0","ENSG00000207751.3","processed_transcript"
"ENST00000602578.1","chr8",47527397,47528148,"+",751,"RP11-697N18.4","0","ENSG00000269924.1","sense_intronic"
"ENST00000407656.1","chr6",108785689,108787053,"-",1364,"ZNF259P1","0","ENSG00000219565.2","transcribed_processed_pseudogene"
"ENST00000290216.13","chr17",47837700,47841333,"-",1533,"SCRN2","SCRN2|Ses2|-|17q21.32|protein-coding","ENSG00000141295.13","protein_coding"
"ENST00000552112.1","chr12",51900565,51901336,"+",771,"RP11-1100L3.4","0","ENSG00000258021.1","processed_pseudogene"
"ENST00000618707.1","chr1",207372559,207373252,"+",693,"RP11-357P18.2","0","ENSG00000274245.1","lincRNA"
"ENST00000577698.1","chr17",68246629,68247938,"-",1309,"RP11-147L13.2","0","ENSG00000265100.1","antisense"
"ENST00000371470.7","chr1",53226892,53238610,"-",747,"MAGOH","MAGOH|MAGOH1|MAGOHA|-|1p32.3|protein-coding","ENSG00000162385.10","protein_coding"
"ENST00000225275.3","chr17",58269856,58280935,"-",3192,"MPO","MPO|-|-|17q22|protein-coding","ENSG00000005381.7","protein_coding"
"ENST00000606994.1","chr5",32174471,32175272,"+",801,"CTD-2186M15.3","0","ENSG00000272086.1","lincRNA"
"ENST00000519811.5","chr8",141128638,141195808,"+",5437,"DENND3","DENND3|-|-|8q24.3|protein-coding","ENSG00000105339.10","protein_coding"
"ENST00000585803.1","chr18",60196555,60198172,"+",1617,"RP11-795H16.2","0","ENSG00000267620.1","processed_pseudogene"
"ENST00000298295.3","chr10",44976129,44978810,"-",2117,"C10orf10","C10orf10|DEPP|FIG|Fseg|-|10q11.21|protein-coding","ENSG00000165507.8","protein_coding"
"ENST00000368102.5","chr1",159834474,159855347,"-",2490,"C1orf204","0","ENSG00000188004.9","protein_coding"
"ENST00000434913.1","chr2",180872867,180873414,"-",547,"FTH1P20","0","ENSG00000226564.1","processed_pseudogene"
"ENST00000457162.2","chr21",29058073,29060095,"-",791,"AF129075.5","0","ENSG00000231125.2","sense_intronic"
"ENST00000382361.7","chr7",5592823,5606655,"+",2768,"FSCN1","FSCN1|FAN1|HSN|SNL|p55|-|7p22.1|protein-coding","ENSG00000075618.17","protein_coding"
"ENST00000540725.5","chr11",62851988,62855746,"-",1355,"SNHG1","0","ENSG00000255717.6","processed_transcript"
"ENST00000375204.2","chr9",97238483,97297314,"+",3130,"RP11-23J9.5","LOC100499484|-|-|9q22.33|pseudo","ENSG00000254876.5","processed_transcript"
"ENST00000550412.5","chr12",55716036,55724703,"+",3375,"RP11-644F5.10","0","ENSG00000258311.5","protein_coding"
"ENST00000379805.3","chrX",19343968,19353327,"+",725,"PDHA1","0","ENSG00000131828.13","protein_coding"
"ENST00000328379.5","chr2",24789734,24793382,"-",1102,"PTRHD1","PTRHD1|C2orf79|-|2p23.3|protein-coding","ENSG00000184924.5","protein_coding"
"ENST00000429257.5","chr15",20431093,20505462,"-",4037,"HERC2P3","0","ENSG00000180229.12","transcribed_unprocessed_pseudogene"
"ENST00000323373.10","chr3",14947729,15043349,"+",2377,"NR2C2","NR2C2|TAK1|TR4|-|3p25.1|protein-coding","ENSG00000177463.15","protein_coding"
"ENST00000404568.3","chr2",74518131,74526336,"-",2666,"DQX1","DQX1|-|-|2p13.1|protein-coding","ENSG00000144045.13","protein_coding"
"ENST00000487315.1","chr10",97453554,97457249,"+",876,"ZDHHC16","0","ENSG00000171307.18","protein_coding"
"ENST00000399438.7","chr5",65624716,65666233,"+",3196,"TRAPPC13","TRAPPC13|C5orf44|-|5q12.3|protein-coding","ENSG00000113597.17","protein_coding"
"ENST00000518818.1","chr5",172955154,172959377,"-",2062,"CTC-308K20.1","0","ENSG00000204758.7","antisense"
"ENST00000350513.2","chr7",143026158,143027195,"-",1037,"OR9A2","OR9A2|-|-|7q34|protein-coding","ENSG00000179468.5","protein_coding"
"ENST00000343738.10","chr16",15125242,15154564,"-",4722,"PKD1P6","0","ENSG00000250251.6","transcribed_unprocessed_pseudogene"
"ENST00000439211.6","chr5",80626228,80654983,"-",3906,"DHFR","DHFR|DHFRP1|DYR|-|5q14.1|protein-coding","ENSG00000228716.6","protein_coding"
"ENST00000585328.5","chr17",78423697,78577394,"-",13547,"DNAH17","0","ENSG00000187775.16","protein_coding"
"ENST00000366999.8","chr1",211662772,211675618,"-",2116,"NEK2","NEK2|HsPK21|NEK2A|NLK1|PPP1R111|RP67|-|1q32.3|protein-coding","ENSG00000117650.12","protein_coding"
"ENST00000403332.2","chr6",129157523,129159120,"-",1597,"BMPR1APS1","0","ENSG00000219642.2","processed_pseudogene"
"ENST00000193403.10","chr14",68874143,68979440,"-",3738,"ACTN1","ACTN1|BDPLT15|-|14q24.1|14q22-q24|protein-coding","ENSG00000072110.13","protein_coding"
"ENST00000605499.1","chr10",35315332,35336401,"-",482,"RP11-324I22.4","0","ENSG00000271335.5","antisense"
